matricula_id,cidade,indice_desenvolvimento_da_cidade,genero,experiencia_relevante,universidade_matriculada,nivel_educacional,disciplina_principal,experiencia,tamanho_da_empresa,tipo_da_empresa,ultimo_novo_emprego,horas_treinamento
32403,city_41,"8,27E+15",Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,<10,,1 ano,21
9858,city_103,92,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,,Empresa Privada Ltda,1 ano,98
31806,city_21,624,Masculino,Não possui experiência relevante,Não matriculado,Ensino Médio,,<1,,Empresa Privada Ltda,Nunca,15
27385,city_13,"8,27E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",11,10/49,Empresa Privada Ltda,1 ano,39
27724,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,72
217,city_23,899,Masculino,Não possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",10,,,2 anos,12
21465,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",<1,100-500,Empresa Privada Ltda,1 ano,11
27302,city_160,92,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,Mais de 4 anos,81
12994,city_173,878,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",14,,,4 anos,2
16287,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,,3,50-99,Startup Financiada,1 ano,4
10856,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,Outros,>20,,,Mais de 4 anos,196
9272,city_90,698,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",20,10/49,Empresa Privada Ltda,2 anos,51
14249,city_46,762,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",8,100-500,Outro,Nunca,48
24372,city_98,"9,49E+15",,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",4,100-500,Empresa Privada Ltda,1 ano,134
14070,city_103,92,,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",5,,,Nunca,10
24914,city_21,624,,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",13,1000-4999,Empresa Privada Ltda,1 ano,125
7865,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",4,100-500,Empresa Privada Ltda,1 ano,4
7463,city_13,"8,27E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,Administração/Ecocomia,2,50-99,Empresa Privada Ltda,1 ano,31
21514,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,,Empresa Privada Ltda,4 anos,23
29033,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,,,2,,,Nunca,110
15359,city_103,92,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",2,,,Nunca,74
16001,city_103,92,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,10000+,,1 ano,44
25202,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,1000-4999,Empresa Privada Ltda,3 anos,33
5058,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",1,,,1 ano,81
23570,city_118,722,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",19,100-500,Empresa Privada Ltda,Mais de 4 anos,19
19139,city_103,92,Feminino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",15,,Setor Público,Mais de 4 anos,48
9548,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,Mais de 4 anos,65
8799,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",6,,Setor PÃºblico,1 ano,46
11113,city_134,698,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,,Empresa Privada Ltda,1 ano,78
19437,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,10/49,Empresa Privada Ltda,,105
394,city_73,754,,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,50-99,Empresa Privada Ltda,1 ano,29
7683,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,,,1 ano,10
22849,city_116,743,,Possui experiência relevante,Não matriculado,,,,50-99,Empresa Privada Ltda,Nunca,12
17189,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,10000+,Empresa Privada Ltda,4 anos,43
28610,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,Mais de 4 anos,18
25608,city_165,903,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",17,50-99,Empresa Privada Ltda,Mais de 4 anos,8
22139,city_103,92,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,Mais de 4 anos,8
19644,city_61,"9,13E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,145
18517,city_21,624,,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",<1,10/49,Empresa Privada Ltda,1 ano,22
12835,city_136,897,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,<10,Startup em Estágio inicial,1 ano,9
20178,city_45,89,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",13,,Setor Público,1 ano,20
25855,city_103,92,Feminino,Possui experiência relevante,Não matriculado,Graduação,Artes,4,50-99,Empresa Privada Ltda,1 ano,20
32126,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,100-500,Empresa Privada Ltda,4 anos,130
22753,city_104,924,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,2 anos,3
18133,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",1,,,1 ano,23
29242,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",5,100-500,Empresa Privada Ltda,1 ano,49
6312,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,1 ano,270
113,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",6,1000-4999,Empresa Privada Ltda,1 ano,23
